"ecoregion","stream","biomass","abu","vel","depth","froude","sub_dom","cpom","wcw","acw","temp","ph","cond_corr","elevation","strahler","Urb_1km","Agr_1km","Nat_1km","upslope_area","Urb","Agr","Nat","Prec_mean","Air_temp"
"Alps","Pesio",0.2666,414,0.1,0.13,0.089,"boulders",0.9135,10,14,5.35,7.91,122,670,4,0,32,68,81,0,2,98,2.941,3.93
"Alps","Pesio",0.1154,82,0.28,0.23,0.186,"boulders",1.8416,10,14,5.35,7.91,122,670,4,0,32,68,81,0,2,98,2.941,3.93
"Alps","Pesio",0.3735,143,0.55,0.36,0.293,"boulders",0.68,10,14,5.35,7.91,122,670,4,0,32,68,81,0,2,98,2.941,3.93
"Alps","Pesio",0.1766,144,0.3,0.34,0.164,"boulders",0.1713,10,14,5.35,7.91,122,670,4,0,32,68,81,0,2,98,2.941,3.93
"Alps","Pesio",0.2764,176,0.43,0.17,0.333,"boulders",1.8252,10,14,5.35,7.91,122,670,4,0,32,68,81,0,2,98,2.941,3.93
"Alps","Po",0.0262,408,0.5,0.35,0.27,"cobbles",0.176,8,77,11.87,7.6,102,474,5,0,2.1,97.9,190,1,6,93,2.072,3.8
"Alps","Po",0.0276,101,0.1,0.18,0.075,"cobbles",0.0933,8,77,11.87,7.6,102,474,5,0,2.1,97.9,190,1,6,93,2.072,3.8
"Alps","Po",0.013,37,0.35,0.36,0.186,"gravel",0.4233,8,77,11.87,7.6,102,474,5,0,2.1,97.9,190,1,6,93,2.072,3.8
"Alps","Po",0.0041,18,0.71,0.37,0.373,"boulders",0.1309,8,77,11.87,7.6,102,474,5,0,2.1,97.9,190,1,6,93,2.072,3.8
"Alps","Po",0.0349,100,0.77,0.31,0.442,"boulders",0.4717,8,77,11.87,7.6,102,474,5,0,2.1,97.9,190,1,6,93,2.072,3.8
"Alps","Po",0.0238,179,0.46,0.4,0.232,"cobbles",0.0475,8,77,11.87,7.6,102,474,5,0,2.1,97.9,190,1,6,93,2.072,3.8
"Alps","Stura",0.0526,139,1.56,0.31,0.895,"boulders",0.1456,50,60,7.2,7.68,287,594,5,0,100,0,586.8,1,6,93,2.455,3.23
"Alps","Stura",0.2889,160,0.81,0.23,0.539,"cobbles",3.9017,50,60,7.2,7.68,287,594,5,0,100,0,586.8,1,6,93,2.455,3.23
"Alps","Stura",0.0771,180,0.86,0.37,0.451,"boulders",0.4541,50,60,7.2,7.68,287,594,5,0,100,0,586.8,1,6,93,2.455,3.23
"Alps","Stura",0.0198,47,1.19,0.53,0.522,"boulders",0.7968,50,60,7.2,7.68,287,594,5,0,100,0,586.8,1,6,93,2.455,3.23
"Alps","Stura",0.1917,176,0.91,0.27,0.559,"boulders",3.3133,50,60,7.2,7.68,287,594,5,0,100,0,586.8,1,6,93,2.455,3.23
"Alps","Stura",0.0595,122,1.02,0.48,0.47,"boulders",0.5745,50,60,7.2,7.68,287,594,5,0,100,0,586.8,1,6,93,2.455,3.23
"Alps","Varaita",0.0436,148,0.96,0.23,0.639,"boulders",0.1542,11,28,6.45,7.95,226,473,5,46,23.4,30.5,432.8,1,7,92,2.048,3.53
"Alps","Varaita",0.0525,399,0.54,0.35,0.291,"boulders",0.2224,11,28,6.45,7.95,226,473,5,46,23.4,30.5,432.8,1,7,92,2.048,3.53
"Alps","Varaita",0.0201,31,0.58,0.45,0.276,"cobbles",1.92,11,28,6.45,7.95,226,473,5,46,23.4,30.5,432.8,1,7,92,2.048,3.53
"Alps","Varaita",0.0468,187,0.65,0.38,0.337,"cobbles",0.4262,11,28,6.45,7.95,226,473,5,46,23.4,30.5,432.8,1,7,92,2.048,3.53
"Alps","Varaita",0.0151,22,0.53,0.51,0.237,"boulders",0.1469,11,28,6.45,7.95,226,473,5,46,23.4,30.5,432.8,1,7,92,2.048,3.53
"Alps","Varaita",0.0238,52,0.47,0.41,0.234,"cobbles",0.7324,11,28,6.45,7.95,226,473,5,46,23.4,30.5,432.8,1,7,92,2.048,3.53
"Apennines","Anzola",0.1305,369,0.43,0.09,0.458,"gravel",0.2947,8,10,10.85,8.74,292,779,2,0,36.3,63.7,16.7,0,9.1,90.9,2.837,5.82
"Apennines","Anzola",0.2362,304,0.46,0.17,0.356,"cobbles",0.7943,8,10,10.85,8.74,292,779,2,0,36.3,63.7,16.7,0,9.1,90.9,2.837,5.82
"Apennines","Anzola",0.4041,452,0.49,0.1,0.495,"cobbles",1.7774,8,10,10.85,8.74,292,779,2,0,36.3,63.7,16.7,0,9.1,90.9,2.837,5.82
"Apennines","Anzola",0.2268,695,0,0.15,0,"sand",0.3332,8,10,10.85,8.74,292,779,2,0,36.3,63.7,16.7,0,9.1,90.9,2.837,5.82
"Apennines","Anzola",0.1688,296,0.12,0.08,0.135,"cobbles",0.6682,8,10,10.85,8.74,292,779,2,0,36.3,63.7,16.7,0,9.1,90.9,2.837,5.82
"Apennines","Anzola",0.1689,322,0.58,0.13,0.514,"gravel",0.6831,8,10,10.85,8.74,292,779,2,0,36.3,63.7,16.7,0,9.1,90.9,2.837,5.82
"Apennines","Arcina",0.196,210,0.43,0.12,0.396,"cobbles",0.4711,8,15,14.02,8.58,379,498,2,4.4,57.3,38.3,16.19,0.1,26.2,73.7,3.737,5.74
"Apennines","Arcina",0.0622,181,0.12,0.05,0.171,"organic",4.4401,8,15,14.02,8.58,379,498,2,4.4,57.3,38.3,16.19,0.1,26.2,73.7,3.737,5.74
"Apennines","Arcina",0.0524,249,0,0.21,0,"gravel",0.3714,8,15,14.02,8.58,379,498,2,4.4,57.3,38.3,16.19,0.1,26.2,73.7,3.737,5.74
"Apennines","Arcina",0.049,262,0.21,0.05,0.3,"cobbles",1.2403,8,15,14.02,8.58,379,498,2,4.4,57.3,38.3,16.19,0.1,26.2,73.7,3.737,5.74
"Apennines","Arcina",0.0775,229,0.21,0.15,0.173,"gravel",0.0895,8,15,14.02,8.58,379,498,2,4.4,57.3,38.3,16.19,0.1,26.2,73.7,3.737,5.74
"Apennines","Arcina",0.272,576,0,0.1,0,"gravel",3.0109,8,15,14.02,8.58,379,498,2,4.4,57.3,38.3,16.19,0.1,26.2,73.7,3.737,5.74
"Apennines","Cedra",0.0299,139,0,0.09,0,"gravel",0.1511,11,31,16.24,8.42,304,702,3,4.9,33.9,61.2,26.2,0,5.3,94.7,4.868,5.19
